,6.198954+-75.57458,6.229264+-75.570485,6.235712+-75.56956,6.253639+-75.564185,6.266524+-75.563666,6.206794+-75.57106,6.242804+-75.55743,6.261663+-75.565777,6.213903+-75.558228,6.252321+-75.567432,6.269552+-75.554713,6.265994+-75.562178,6.223611+-75.574438,6.248156+-75.55767,6.244864+-75.57721,6.269477+-75.565793,6.209042+-75.56778,6.271251+-75.55765,6.282256+-75.561384,6.26785+-75.568856,6.241586+-75.5765,6.286183+-75.56599,6.275893+-75.56978,6.265202+-75.57218,6.260895+-75.57370,6.254212+-75.57729,6.247960+-75.58028,6.239645+-75.57740,6.236897+-75.57647,6.231378+-75.57567,6.213594+-75.57807,6.204031+-75.57959,6.195293+-75.58154,6.221713+-75.59181,6.21883+-75.58655,6.214981+-75.59758,6.232039+-75.604523,6.241308+-75.58755,6.207895+-75.5909,6.262951+-75.604237,6.25696+-75.59199,6.273829+-75.592982,6.286315+-75.574404,6.276734+-75.58055,6.255575+-75.601588,6.275722+-75.59619,6.293733+-75.57159,6.245128+-75.596843,6.27907+-75.571295,6.234699+-75.58744,6.230405+-75.609889,6.24448+-75.589435
6.198954+-75.57458,0,5785,7044,9594,12004,2262,9454,10545,4948,8377,12530,10635,4864,9462,7044,11445,2996,12086,12525,9955,6640,12200,10909,9738,9223,8325,8417,7104,8489,5624,3483,1667,1376,5357,4779,5192,7012,8265,4848,11909,10347,13061,12795,11801,10780,11955,13682,9137,11464,7244,7732,8844
6.229264+-75.570485,3861,0,1856,4852,7356,3396,4148,4704,3092,3817,7881,5986,918,4156,2388,6796,3807,7438,7876,5306,1984,7552,6261,5089,4574,3669,3536,2986,3580,734,2871,4279,5063,3823,3171,4793,4037,3429,5473,7253,5691,8413,8146,7152,5944,7299,9654,4300,6816,2354,4757,4008
6.235712+-75.56956,4896,1365,0,2713,4175,4431,2530,3535,3740,2318,4721,4034,2877,2538,2767,6632,4913,4513,7712,5142,1984,7387,6096,4925,4410,3517,2868,1556,3220,1883,3838,5314,5706,5167,6105,6138,5023,2716,8665,7101,5539,8248,7982,6988,5232,7147,8869,3588,6651,2839,5777,3296
6.253639+-75.564185,6853,3322,2788,0,1833,6388,2282,1193,6196,1222,2843,1692,4834,1666,3100,2962,6402,2635,6373,2975,3608,6035,4061,2827,2014,1917,4787,5360,3554,3641,5795,7271,8423,8858,6453,9828,9072,5661,9035,6765,5203,5610,5662,4350,6957,6095,7094,6609,4149,7390,8604,5449
6.266524+-75.563666,10136,5057,5974,2035,0,9482,3929,1204,9714,3110,1549,995,7539,3271,5181,725,9690,1280,2127,1573,6023,3819,2143,1186,2112,2568,4360,4933,5962,6844,8496,10345,10376,8431,7894,9402,7457,5234,11101,6338,4776,4510,4243,3249,6530,4753,5130,6182,2697,6963,8177,5022
6.206794+-75.57106,1951,3532,3584,7905,10333,0,5876,8873,2483,5545,10858,8964,3297,5884,5372,9774,1281,10415,10853,8283,4968,10529,9238,8067,7551,6654,6215,5415,6817,3413,1739,2369,3110,5921,3035,5756,6715,6575,5412,10238,8676,11390,11124,10129,9091,10284,12011,7447,9793,5033,7435,7155
6.242804+-75.55743,7310,4014,3288,1930,3716,7080,0,3190,6070,2067,4117,3574,5527,882,3433,4381,7094,4124,7792,4395,3940,7454,5480,4246,3433,4182,4384,4957,3886,4333,6487,7963,8679,7545,6771,8516,7481,5258,9302,7767,5667,7030,7081,5769,6583,7514,8513,6206,5568,5682,8201,4873
6.261663+-75.565777,8076,4545,4011,1356,957,7611,3426,0,7419,2598,2115,815,6057,2767,3353,1755,7625,1906,2750,2033,3833,4278,2987,1646,2771,2170,4820,5392,3779,4864,8956,10805,10836,8891,6664,9861,7917,5693,9224,5754,4192,4969,4703,3709,5947,5212,5590,6642,3542,7422,8637,5482
6.213903+-75.558228,4165,5684,4918,8197,8191,3823,6546,7551,0,6333,8737,8049,4901,6554,6783,10648,3077,8529,11727,9157,5999,11403,10112,8941,8425,7532,6884,5572,7236,4860,3463,5577,5251,7646,4759,7481,9039,6732,7137,11117,9554,12264,11998,11004,9248,11162,13505,7604,10667,6855,9793,7311
6.252321+-75.567432,6728,3197,2663,637,1882,7356,2229,1241,6289,0,3165,1740,4710,1613,2256,2444,6277,2957,5836,2434,2736,4680,3524,2210,1477,1341,3219,2987,2682,3666,6370,8419,8249,6092,5567,7063,6454,4147,8127,4925,3363,5074,5125,3813,5117,4971,6557,5019,3612,4478,7207,3981
